,degree_centrality,betwenness_centrality,closeness_centrality,page_rank,hubs,authorities
David La Barbera,0.16,0.02832185432185432,0.5102040816326531,0.031642640370425065,0.03613664013977141,0.044330391282523376
Michael Soprano,0.28,0.17471675871675874,0.5813953488372093,0.059917135080944255,0.047692632612623354,0.061044553023800394
Kevin Roitero,0.3066666666666667,0.14881237381237378,0.5905511811023622,0.061939964921565234,0.053376015882880906,0.06638564541313742
Stefano Mizzaro,0.33333333333333337,0.23251808601808607,0.6,0.07332516877779291,0.05115496970242669,0.05822108323857819
Damiano Spina,0.37333333333333335,0.264521008021008,0.5769230769230769,0.08218819595575114,0.05016544558059546,0.04880037591783689
Gianluca Demartini,0.3866666666666667,0.2804587604587606,0.6198347107438017,0.0847611060629954,0.053951202675250984,0.05489487648943097
Eddy Maddalena,0.37333333333333335,0.26953963053963054,0.5813953488372093,0.08304728278417857,0.04951153538286974,0.054213980273040495
Dante Degl'Innocenti,0.02666666666666667,0.0008378378378378379,0.38860103626943004,0.006984656029678682,0.00673158764510962,0.0064060769844864725
Arkaitz Zubiaga,0.04,0.004594594594594594,0.43352601156069365,0.009965298791731702,0.010651715315011391,0.005766390208338973
Marco Pavan,0.013333333333333334,0.0,0.3768844221105528,0.00446691764673767,0.004940063102256128,0.006879567585115979
Ujwal Gadiraju,0.04,0.0,0.45180722891566266,0.009472881784354854,0.01493151569645182,0.012892610588440372
Karl Aberer,0.013333333333333334,0.0,0.38461538461538464,0.004458219995056886,0.0052100968333816874,0.006486533603953902
Víctor Fresno,0.02666666666666667,0.0,0.4098360655737705,0.006962252478429023,0.009784567324671518,0.005766390208338974
Afshin Rahimi,0.013333333333333334,0.0,0.3694581280788177,0.0043988414261199125,0.004605703336149201,0.007213196747121991
Julio Gonzalo,0.04,0.0013496353496353496,0.39267015706806285,0.009431695686660423,0.007967588818152923,0.0057663902083389664
Yunke Qu,0.013333333333333334,0.0,0.373134328358209,0.00426275406815625,0.005154550733629864,0.00784431530464216
Laura Sbaffi,0.013333333333333334,0.0,0.38461538461538464,0.004458219995056886,0.0052100968333816874,0.0064865336039539
Andrew Turpin,0.04,0.0019489324489324487,0.44642857142857145,0.009483680831515637,0.01456592308548552,0.01328564456960245
"Dr. Wasim Ahmed, PhD",0.02666666666666667,0.0,0.39267015706806285,0.006699530551448391,0.008699831723900526,0.006486533603953898
Luca Di Gaspero,0.02666666666666667,0.0,0.4166666666666667,0.0069514534312682405,0.010150159935637814,0.006879567585115979
Davide Ceolin,0.08,0.002617071617071617,0.46875,0.016301518387657643,0.024960136766353613,0.026701793238893753
Claudio Carpineto,0.08,0.010773185273185278,0.47770700636942676,0.016910950630732387,0.022100303859052147,0.0068795675851159675
Fabio Crestani,0.05333333333333334,0.0019489324489324487,0.4807692307692308,0.011968216616046207,0.019776019918867207,0.006879567585115977
Giuseppe Primiero,0.02666666666666667,0.0016638781638781636,0.373134328358209,0.007686197089976068,0.0051213003079295044,0.007213196747121992
Falk Scholer,0.05333333333333334,0.0019489324489324487,0.4716981132075472,0.011772750689145572,0.019720473819115385,0.0268963500825836
Edgar Meij,0.05333333333333334,0.004192604692604693,0.4437869822485207,0.011949985371232996,0.015418750657936185,0.005766390208338974
Michele Catasta,0.013333333333333334,0.0,0.38461538461538464,0.004458219995056886,0.0052100968333816874,0.006486533603953904
Luis-Daniel Ibáñez,0.013333333333333334,0.0,0.3694581280788177,0.00449511256361293,0.004781355760814003,0.006406076984486471
Mattia Zeni,0.013333333333333334,0.0,0.3694581280788177,0.00449511256361293,0.004781355760814003,0.006406076984486471
Lei Han,0.04,0.0019489324489324487,0.4573170731707317,0.009474983179834855,0.014835956816611082,0.012892610588440372
Elena Nazzi,0.013333333333333334,0.0,0.3768844221105528,0.00446691764673767,0.004940063102256128,0.006879567585115973
Alberto Tonon,0.013333333333333334,0.0,0.38461538461538464,0.004458219995056886,0.0052100968333816874,0.006486533603953903
Philippe Cudre-Mauroux,0.013333333333333334,0.0,0.38461538461538464,0.004458219995056886,0.0052100968333816874,0.006486533603953902
J. Shane Culpepper,0.013333333333333334,0.0,0.373134328358209,0.00426275406815625,0.005154550733629864,0.00784431530464216
Tim Draws,0.04,0.0,0.3968253968253968,0.008929221840141352,0.013249988960297903,0.02029571625440728
Mihai Horia Popescu,0.02666666666666667,0.0005148005148005149,0.3768844221105528,0.007085938535203999,0.006183192644856098,0.00784431530464216
Jorge Carrillo-de-Albornoz,0.02666666666666667,0.0019489324489324487,0.41899441340782123,0.0069904473953042836,0.009625859983229394,0.005766390208338973
Peter A Bath,0.013333333333333334,0.0,0.38461538461538464,0.004458219995056886,0.0052100968333816874,0.006486533603953902
Tetsuya Sakai,0.013333333333333334,0.0,0.3694581280788177,0.0043988414261199125,0.004605703336149201,0.007213196747121997
Omar Alonso,0.013333333333333334,0.0,0.3768844221105528,0.00446691764673767,0.004940063102256128,0.006879567585115979
