,degree_centrality,betwenness_centrality,closeness_centrality,page_rank,hubs,authorities
David La Barbera,0.12000000000000001,0.03815015015015014,0.4966887417218543,0.03377171505156937,0.04433039128252336,0.044330391282523376
Michael Soprano,0.24000000000000002,0.1925105105105106,0.5681818181818182,0.06931530063312522,0.0610445530238004,0.061044553023800394
Kevin Roitero,0.26666666666666666,0.20363963963963974,0.5769230769230769,0.07623342331222434,0.06638564541313746,0.06638564541313742
Stefano Mizzaro,0.26666666666666666,0.28522522522522525,0.5769230769230769,0.08402829424923988,0.05822108323857816,0.05822108323857819
Damiano Spina,0.28,0.34527927927927926,0.539568345323741,0.09547455459841865,0.04880037591783693,0.04880037591783689
Gianluca Demartini,0.28,0.3354894894894894,0.5813953488372093,0.09196661668589706,0.05489487648943095,0.05489487648943097
Eddy Maddalena,0.28,0.27670270270270275,0.5208333333333334,0.08766049537529627,0.05421398027304053,0.054213980273040495
Dante Degl'Innocenti,0.013333333333333334,0.0,0.3440366972477064,0.005521638659437415,0.006406076984486468,0.0064060769844864725
Arkaitz Zubiaga,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.005766390208338973
Marco Pavan,0.013333333333333334,0.0,0.36764705882352944,0.005544871413178796,0.006879567585115981,0.006879567585115979
Ujwal Gadiraju,0.02666666666666667,0.0,0.39893617021276595,0.009244082381193907,0.01289261058844037,0.012892610588440372
Karl Aberer,0.013333333333333334,0.0,0.3694581280788177,0.005696127932282808,0.006486533603953902,0.006486533603953902
Víctor Fresno,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.005766390208338974
Afshin Rahimi,0.013333333333333334,0.0,0.3640776699029126,0.00524708623699634,0.007213196747121993,0.007213196747121991
Julio Gonzalo,0.013333333333333334,0.0,0.352112676056338,0.0058372601027927365,0.005766390208338967,0.0057663902083389664
Yunke Qu,0.013333333333333334,0.0,0.36764705882352944,0.005213689507249942,0.007844315304642153,0.00784431530464216
Laura Sbaffi,0.013333333333333334,0.0,0.3694581280788177,0.005696127932282808,0.006486533603953902,0.0064865336039539
Andrew Turpin,0.02666666666666667,0.0,0.3968253968253968,0.009092825862089895,0.013285644569602451,0.01328564456960245
"Dr. Wasim Ahmed, PhD",0.013333333333333334,0.0,0.3694581280788177,0.005696127932282808,0.006486533603953902,0.006486533603953898
Luca Di Gaspero,0.013333333333333334,0.0,0.36764705882352944,0.005544871413178796,0.006879567585115981,0.006879567585115979
Davide Ceolin,0.05333333333333334,0.0013213213213213212,0.41208791208791207,0.015224739613858309,0.026701793238893747,0.026701793238893753
Claudio Carpineto,0.013333333333333334,0.0,0.36764705882352944,0.005544871413178796,0.006879567585115981,0.0068795675851159675
Fabio Crestani,0.013333333333333334,0.0,0.36764705882352944,0.005544871413178796,0.006879567585115981,0.006879567585115977
